Ref,Val,Package,PosX,PosY,Rot,Side
"D104","D_TVS_Small","PMEG3005AESFYL",160.875001,-95.230000,90.000000,bottom
"D107","D_TVS_Small","PMEG3005AESFYL",160.875001,-97.350000,90.000000,bottom
"D111","D_TVS_Small","PMEG3005AESFYL",160.875001,-99.600000,90.000000,bottom
"D513","D_TVS_Small","PMEG3005AESFYL",94.500000,-104.050000,90.000000,bottom
"D514","D_TVS_Small","PMEG3005AESFYL",93.500000,-104.050000,90.000000,bottom
"D515","D_TVS_Small","PMEG3005AESFYL",93.500000,-106.800000,-90.000000,bottom
"D516","D_TVS_Small","PMEG3005AESFYL",94.500000,-106.800000,-90.000000,bottom
"D517","D_TVS_Small","PMEG3005AESFYL",94.500000,-109.200000,90.000000,bottom
"D518","D_TVS_Small","PMEG3005AESFYL",93.500000,-109.200000,90.000000,bottom
"D519","D_TVS_Small","PMEG3005AESFYL",94.500000,-111.900000,-90.000000,bottom
"D520","D_TVS_Small","PMEG3005AESFYL",93.500000,-111.900000,-90.000000,bottom
"R104","22R","R_0402_1005Metric",158.725001,-99.268300,0.000000,bottom
"R105","22R","R_0402_1005Metric",158.725001,-97.268300,0.000000,bottom
"R106","22R","R_0402_1005Metric",158.725001,-95.230000,0.000000,bottom
